"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"28509-26483","QB","Geno","Geno Smith","Smith","-0.10000000149011612","1","6000","SF@LAC","LAC","SF","","","","",""
"28509-39795","QB","Davis","Davis Webb","Webb","0","0","6000","NYJ@JAC","NYJ","JAC","","","","",""
"28509-38796","QB","J.T.","J.T. Barrett IV","Barrett IV","0","0","6000","NO@NYG","NO","NYG","","","","",""
"28509-29587","QB","Cody","Cody Kessler","Kessler","1.3133333524068196","3","6000","NYJ@JAC","JAC","NYJ","","","","",""
"28509-40857","RB","Peyton","Peyton Barber","Barber","4.533333460489909","3","6000","TB@CHI","TB","CHI","","","","",""
"28509-33702","QB","Ryan","Ryan Griffin","Griffin","0","0","6000","TB@CHI","TB","CHI","","","","",""
"28509-43956","QB","David","David Fales","Fales","10.199999809265137","2","6000","MIA@NE","MIA","NE","","","","",""
"28509-38837","QB","Danny","Danny Etling","Etling","0","0","6000","MIA@NE","NE","MIA","","","","",""
"28509-41966","QB","Luke","Luke Falk","Falk","0","0","6000","MIA@NE","MIA","NE","","","","",""
"28509-52560","WR","Geronimo","Geronimo Allison","Allison","13.133333841959635","3","5900","BUF@GB","GB","BUF","","","","",""
"28509-53640","RB","Sony","Sony Michel","Michel","5","2","5900","MIA@NE","NE","MIA","","","","",""
"28509-6893","WR","Jordy","Jordy Nelson","Nelson","11.366666158040365","3","5900","CLE@OAK","OAK","CLE","","","","",""
"28509-14320","RB","Bilal","Bilal Powell","Powell","10.266666412353516","3","5900","NYJ@JAC","NYJ","JAC","","","","",""
"28509-22113","RB","Alfred","Alfred Morris","Morris","7.833333333333333","3","5800","SF@LAC","SF","LAC","Q","Ankle","","",""
"28509-27338","RB","Rex","Rex Burkhead","Burkhead","4.399999936421712","3","5800","MIA@NE","NE","MIA","Q","Neck","","",""
"28509-40669","WR","Tyler","Tyler Boyd","Boyd","14.966667175292969","3","5800","CIN@ATL","CIN","ATL","","","","",""
"28509-54244","WR","Kenny","Kenny Golladay","Golladay","15.699999491373697","3","5800","DET@DAL","DET","DAL","","","","",""
"28509-14339","RB","Dion","Dion Lewis","Lewis","9.933333079020182","3","5700","PHI@TEN","TEN","PHI","","","","",""
"28509-63806","RB","Kerryon","Kerryon Johnson","Johnson","8.766666412353516","3","5700","DET@DAL","DET","DAL","","","","",""
"28509-57840","RB","Rashaad","Rashaad Penny","Penny","3.2666667302449546","3","5700","SEA@ARI","SEA","ARI","","","","",""
"28509-57909","RB","Marlon","Marlon Mack","Mack","4.099999904632568","1","5700","HOU@IND","IND","HOU","Q","Hamstring","","",""
"28509-39793","TE","George","George Kittle","Kittle","9.033333460489908","3","5700","SF@LAC","SF","LAC","","","","",""
"28509-79974","RB","Tarik","Tarik Cohen","Cohen","5.633333206176758","3","5600","TB@CHI","CHI","TB","","","","",""
